gauge_id,subdataset,country,gauge_lat,gauge_lon,area
ausvic_230100,ausvic,Australia,-37.410313,144.902285,483.76992232879246
ausvic_230102,ausvic,Australia,-37.6314,144.801,860.3485431419829
ausvic_230106,ausvic,Australia,-37.7659,144.895,1385.654363150922
ausvic_230107,ausvic,Australia,-37.5285,144.856,620.7388704829533
ausvic_230119,ausvic,Australia,-37.28609,144.77775,219.2153533752304
ausvic_230200,ausvic,Australia,-37.727706,144.836476,1306.0112053698558
ausvic_230202,ausvic,Australia,-37.583217,144.742036,342.7511368305603
ausvic_230206,ausvic,Australia,-37.47537,144.572443,90.95822667509152
ausvic_230211,ausvic,Australia,-37.4662,144.744,95.98777542244368
ausvic_230237,ausvic,Australia,-37.6778,144.805,1279.398597665061
camels_01013500,camels,United States of America,47.23739,-68.58264,2297.683154625437
camels_01022500,camels,United States of America,44.60797,-67.93524,619.1025954030504
camels_01030500,camels,United States of America,45.50097,-68.30596,3666.943011361588
camels_01031500,camels,United States of America,45.17501,-69.3147,764.8241487847673
camels_01047000,camels,United States of America,44.8692,-69.9551,902.8950759161186
camels_01052500,camels,United States of America,44.87739,-71.05749,395.4449102166139
camels_01054200,camels,United States of America,44.39044,-70.97964,180.83578258638576
camels_01055000,camels,United States of America,44.64275,-70.58878,250.42611656282844
camels_01057000,camels,United States of America,44.30399,-70.53968,197.42826356745337
camels_01073000,camels,United States of America,43.1487,-70.96506,32.1070031482288
camels_01078000,camels,United States of America,43.56646,-71.74786,221.56128512151847
camels_01118300,camels,United States of America,41.47482,-71.83424,13.70093529746407
camels_01121000,camels,United States of America,41.84371,-72.16897,94.39441250906812
camels_01123000,camels,United States of America,41.67177,-72.0523,83.9188028973241
camels_01134500,camels,United States of America,44.51172,-71.83731,209.0953393912348
camels_01137500,camels,United States of America,44.26867,-71.63036,237.80740881227263
camels_01139000,camels,United States of America,44.15034,-72.06509,258.98321178700803
camels_01139800,camels,United States of America,44.09284,-72.33565,24.978150451164144
camels_01142500,camels,United States of America,43.93451,-72.65788,79.63046279117272
camels_01144000,camels,United States of America,43.71424,-72.41815,1777.408716575921
camels_01162500,camels,United States of America,42.68259,-72.11508,77.94575988334304
camels_01169000,camels,United States of America,42.63842,-72.72509,233.4531968528464
camels_01170100,camels,United States of America,42.70342,-72.67065,109.17894274114286
camels_01181000,camels,United States of America,42.23731,-72.89565,244.8619753135553
camels_01187300,camels,United States of America,42.03732,-72.93899,53.91775233256445
camels_01195100,camels,United States of America,41.30593,-72.5312,16.07590489096907
camels_01333000,camels,United States of America,42.70897,-73.19677,111.3226948261138
camels_01350000,camels,United States of America,42.31953,-74.43654,613.6460531564197
camels_01350080,camels,United States of America,42.37703,-74.41292,89.52601183056225
camels_01350140,camels,United States of America,42.42897,-74.47293,47.6733788326372
camels_01365000,camels,United States of America,41.86648,-74.4871,102.60286139533804
camels_01411300,camels,United States of America,39.30694,-74.82056,79.23047616804094
camels_01413500,camels,United States of America,42.14481,-74.65349,433.2357388128525
