gauge_id,country,match_method,matched_dataset,matched_gauge_id,nat_id,distance_km
GRDC_3617812,BR,id,camelsbr,,15130000,
GRDC_3618052,BR,id,camelsbr,,14330000,
GRDC_3618053,BR,id,camelsbr,,14250000,
GRDC_3618090,BR,id,camelsbr,,14110000,
GRDC_3618110,BR,id,camelsbr,,14230000,
GRDC_3618120,BR,id,camelsbr,,14310000,
GRDC_3618130,BR,id,camelsbr,,14350000,
GRDC_3618150,BR,id,camelsbr,,14440000,
GRDC_3618720,BR,id,camelsbr,,14515000,
GRDC_3618730,BR,id,camelsbr,,14680001,
GRDC_3618950,BR,id,camelsbr,,14260000,
GRDC_3618951,BR,id,camelsbr,,14280001,
GRDC_3620000,BR,id,camelsbr,,11500000,
GRDC_3623100,BR,id,camelsbr,,11400000,
GRDC_3625000,BR,id,camelsbr,,13150000,
GRDC_3626000,BR,id,camelsbr,,14100000,
GRDC_3627000,BR,id,camelsbr,,15030000,
GRDC_3628700,BR,id,camelsbr,,15910000,
GRDC_3628701,BR,id,camelsbr,,15910000,
GRDC_3628900,BR,id,camelsbr,,15930000,
GRDC_3629001,BR,id,camelsbr,,17050001,
GRDC_3630100,BR,id,camelsbr,,17090000,
GRDC_3630300,BR,id,camelsbr,,18200000,
GRDC_3632400,BR,id,camelsbr,,10500000,
GRDC_3633121,BR,id,camelsbr,,12700000,
GRDC_3633123,BR,id,camelsbr,,12520000,
GRDC_3633160,BR,id,camelsbr,,12500000,
GRDC_3633180,BR,id,camelsbr,,12370000,
GRDC_3634100,BR,id,camelsbr,,13470000,
GRDC_3634150,BR,id,camelsbr,,13600002,
GRDC_3634320,BR,id,camelsbr,,13880000,
GRDC_3634340,BR,id,camelsbr,,13870000,
GRDC_3634350,BR,id,camelsbr,,13750000,
GRDC_3634360,BR,id,camelsbr,,13710001,
GRDC_3635030,BR,id,camelsbr,,15700000,
GRDC_3635040,BR,id,camelsbr,,15400000,
GRDC_3635310,BR,id,camelsbr,,15550000,
GRDC_3635651,BR,id,camelsbr,,15800000,
GRDC_3637775,BR,id,camelsbr,,17200000,
GRDC_3637810,BR,id,camelsbr,,17350000,
GRDC_3637815,BR,id,camelsbr,,17345000,
GRDC_3638050,BR,id,camelsbr,,18850000,
GRDC_3638215,BR,id,camelsbr,,17090000,
GRDC_3649012,BR,id,camelsbr,,20250000,
GRDC_3649050,BR,id,camelsbr,,20200000,
GRDC_3649120,BR,id,camelsbr,,21750000,
GRDC_3649150,BR,id,camelsbr,,21500000,
GRDC_3649251,BR,id,camelsbr,,22050001,
GRDC_3649310,BR,id,camelsbr,,23250000,
GRDC_3649311,BR,id,camelsbr,,23150000,
GRDC_3649312,BR,id,camelsbr,,23220000,
GRDC_3649315,BR,id,camelsbr,,23230000,
GRDC_3649320,BR,id,camelsbr,,22900000,
GRDC_3649321,BR,id,camelsbr,,22700000,
GRDC_3649322,BR,id,camelsbr,,22680000,
GRDC_3649409,BR,id,camelsbr,,26350000,
GRDC_3649411,BR,id,camelsbr,,24200000,
GRDC_3649412,BR,id,camelsbr,,24850000,
GRDC_3649416,BR,id,camelsbr,,27500000,
GRDC_3649418,BR,id,camelsbr,,28300000,
GRDC_3649419,BR,id,camelsbr,,28850000,
GRDC_3649420,BR,id,camelsbr,,24500000,
GRDC_3649421,BR,id,camelsbr,,25200000,
GRDC_3649422,BR,id,camelsbr,,24700000,
GRDC_3649423,BR,id,camelsbr,,24050000,
GRDC_3649424,BR,id,camelsbr,,25700000,
GRDC_3649440,BR,id,camelsbr,,24900000,
GRDC_3649449,BR,id,camelsbr,,24950000,
GRDC_3649450,BR,id,camelsbr,,24750000,
GRDC_3649455,BR,id,camelsbr,,24780000,
GRDC_3649459,BR,id,camelsbr,,24800000,
GRDC_3649465,BR,id,camelsbr,,26720000,
GRDC_3649510,BR,id,camelsbr,,25130000,
GRDC_3649511,BR,id,camelsbr,,25100000,
GRDC_3649614,BR,id,camelsbr,,26050000,
GRDC_3649617,BR,id,camelsbr,,26100000,
GRDC_3649618,BR,id,camelsbr,,26200000,
GRDC_3649619,BR,id,camelsbr,,26300000,
GRDC_3649855,BR,id,camelsbr,,28150000,
GRDC_3649860,BR,id,camelsbr,,27550000,
GRDC_3649901,BR,id,camelsbr,,29050000,
GRDC_3649902,BR,id,camelsbr,,23700000,
GRDC_3649903,BR,id,camelsbr,,23600000,
